text,expected,predicted
"в рашке надо лучше организовать работу приставов что бы этих холопов выкидывали на мороз по быстрому после решения суда а не чуть ли не годами вот и все
",1.0,0.0
"Скоро? Я 19 лет уже работаю программистом. Скоро пенсия.
",0.0,0.0
"А в ес мочу сразу после такой хуйни пидорнули, и правильно сделали. По подсети банить неправильно.",1.0,0.0
"Все конечно правильно, но... За 2 минуты люди не только войти в вагон, но и выйти из вагона не успевают
",0.0,0.0
"Знаки важнее. Логика простая, разметку зимой не видно. У нас полгода зима.
",0.0,0.0
"Все в точности так и у меня было ) а еще книжный магазин это ебу ий капкан,откуда выйти без покупки очень тяжело.
",0.0,0.0
"Но тем не менее при авиаперевозке хорька в салоне, по правилам его обязаны держать в мягкой переноске.
",0.0,0.0
"ФАЯЯЯЯЯЯ ТУТТУТУТУТТУТУТУТРУРУТУРУТУ
",1.0,1.0
"А смысл? Стоянка платная, если не ошибаюсь...
",0.0,0.0
"Лестницу так и не ремонтируют?
",0.0,0.0
"Очень советую Билет на поезд , реиграбельная и простая (в правилах) игра. Сами играем в Европу с допом. Ещё могу посоветовать Доминион, Мистериум и Маленький Мир. Наша опытная компания всё больше играет в Brass Бирмингем, Серп и все вариации Ужаса Аркхэма. Но это уже от 9-10 лет. P.S. Берите Каркассон королевский подарок, не пожалеете)
",0.0,0.0
"Ты действительно думаешь что в век толерастии никто не обделается и не подлижет меньшинствам и небелым? Не удивлюсь если Уилл Парри будет черным а история деймонов его и лиры будет с ЛГБТ подтекстом. А лучше Ли и Йорек будут педиками зоофилами(
",1.0,1.0
"Прям все представил. Маяковский молодец!
",0.0,0.0
"Алеша Лобстер, иди нахуй.
",1.0,1.0
"долбоебы, лезущие в опасные места ебаные ублюдки альпинисты создают своим неадекватным поведением по итогу проблемы не только своим родным и близким, но и вообще всем вокруг больным людям нехуй делать Ох уж эти визги тепличных корзинок. Ваши предки, полезшие в заснеженные рашкинские болота и выжившие среди этой грязи, медведей и комаров с единственным изобретением - факелом, харкают вам на ебало, никчемные вырожденцы.
",1.0,0.0
"никогда не придерживал. но сколько не замечал, если двери чего-то касаются при начале закрытия, то сами разьезжаются в стороны, даже без придерживания
",0.0,0.0
